Easting,Northing,Elevation_m,Surface_cover
85141,33937,484,grass
85148,33930,484,grass
85150,33924,484,grass
85151,33917,484,grass
85151,33915,482,grass
85152,33911,482,grass
85154,33905,483,grass/ reeds
85155,33902,482,grass
85156,33897,482,grass
85159,33891,481,grass
85161,33884,480,grass
85161,33884,480,reeds
85166,33872,478,grass
85166,33869,478,grass
85168,33863,478,grass
85168,33861,476,grass
85167,33854,475,grass
85164,33851,473,grass
85166,33847,471,grass
85166,33846,473,grass
85167,33844,471,grass
85168,33842,473,grass/reeds
85170,33839,471,bank
85170,33837,467,river
85170,33835,469,mid river
85171,33834,469,grass/rock
85173,33831,469,grass/rock
85174,33824,470,old bank
85174,33822,469,grass
85175,33820,467,mossy bank
85178,33812,469,grass
85179,33810,471,grass
85179,33808,471,grass
85178,33802,473,grass
85180,33799,475,grass
85184,33798,477,grass
,,,
85171,33931,485,grass and gravel
85172,33927,485,gravel
85173,33922,485,gravel transitioning into grass
85173,33917,485,grass 
85175,33915,485,grass
85176,33905,484,grass transitioning into reeds
85177,33899,483,reeds
85178,33894,481,reeds
85182,33889,480,reeds
85183,33883,481,reeds and grass
85185,33877,481,reeds and grass
85186,33872,480,reeds and grass
85186,33866,479,reeds and grass
85189,33861,479,rocks and grass
85193,33855,468,rocks 
85197,33851,470,rocks 
85200,33847,472,rocks and grass
85200,33840,469,grass 
85203,33835,469,grass 
85202,33829,470,grass 
85203,33824,471,grass
85202,33821,470,grass
85203,33817,473,grass 
85202,33814,471,rock
85202,33808,473,grass hill
85203,33806,474,grass
85204,33804,475,grass
85203,33801,476,grass
85203,33800,478,grass
85204,33798,478,grass
85204,33794,478,grass
85204,33794,478,grass
85204,33793,477,grass
85204,33791,477,grass
,,,
85125,33923,483,Grass
85128,33918,481,Grass
85129,33911,482,Grass
85132,33904,481,Grass
85135,33899,482,Grass
85135,33893,481,Grass
85136,33889,480,Grass
85138,33883,479,Grass
85138,33879,479,Grass + Shaft mine
85140,33877,478,Grass + Shaft mine
85142,33872,478,Grass + Shaft mine
85143,33870,477,Grass + Shaft mine
85144,33866,478,Reeds
85144,33862,476,Reeds
85145,33858,475,Reeds
85148,33851,472,Moss
85149,33844,474,Grass
85150,33841,468,Grass
85152,33831,469,Grass
85154,33830,469,Grass
85153,33827,467,Grass
85154,33826,468,Grass
85154,33823,466,Grass
85156,33821,466,"Water, rocks"
85158,33820,466,"Water, rocks"
85158,33817,468,"Reeds, grass, rocks"
85160,33816,467,Grass
85159,33813,466,Grass
85163,33806,467,"Grass, thistle"
85162,33803,469,"Moss, grass"
85163,33797,469,Grass
85163,33796,468,"Moss, grass, rock"
85162,33793,467,"Moss, grass, rock"
85161,33788,468,Grass
85165,33787,475,"Moss, grass"
85165,33782,474,"Moss, grass"
85165,33779,474,Grass
,,,
85128,33924,480,Grass
85131,33917,485,Grass
85130,33908,481,Grass
85133,33898,479,Grass
85132,33893,482,Grass
85136,33885,482,Grass
85136,33883,482,Grass
85137,33880,479,Grass
85136,33876,478,Grass
85138,33875,479,Grass
85140,33868,482,Grass
85141,33866,482,Grass
85141,33855,483,Grass
85143,33852,480,Grass
85144,33846,477,Grass
85146,33841,471,Grass
85147,33834,466,Grass
85147,33831,466,Grass
85148,33833,467,Grass
85149,33830,469,Grass
85151,33828,468,Grass
85151,33824,466,River bed
85152,33823,466,River bed
85155,33821,468,"Grass, boulders"
85155,33815,469,"Grass, open soil"
85156,33813,468,Grass
85155,33809,467,"Grass, moss"
85158,33805,469,Grass
85158,33800,468,Grass + moss
85159,33792,470,Grass + moss 
85159,33782,490,Grass
85162,33772,475,Grass
85165,33769,477,Grass
,,,
85137,33934,498,grass
85150,33937,493,grass
85150,33916,490,grass
85152,33909,489,long grass
85158,33903,488,grass
85164,33893,485,grass
85166,33882,485,grass
85170,33870,483,grass
85170,33864,480,grass
85170,33856,479,grass
85170,33846,477,long grass and reeds
85174,33850,477,grass
85175,33842,476,grass
85175,33841,475,stream and rocks
85176,33836,475,stream and rocks
85175,33835,471,rocks
85176,33830,472,grass
85178,33827,472,grass
85179,33822,473,grass and moss
85180,33817,472,reeds and moss
85181,33811,475,grass and mushrooms
85182,33809,476,grass
85183,33807,477,grass
85181,33799,479,heather and lichen
85180,33795,475,dry grass
85179,33792,477,grass and reeds
85174,33787,476,grass and moss and mushrooms
85171,33783,477,grass and moss
85170,33782,480,grass and moss
85171,33771,482,grass
85173,33763,483,short grass
85174,33731,482,short grass
